asin,prodName,numStars,numView,price
B06XG3SLKP,"Nintendo Switch Schutzfolie, PULESEN® [2 Stück] Nintendo Switch Panzerglas Displayschutzfolie [9H Härte] [Kristall-klar] Glas Folie Panzerfolie Screen Protector für Nintendo Switch Konsole 2017","4,3",289,"EUR 7,49"
B06ZYW1XBT,"Amazon Echo (2. Generation), Intelligenter Lautsprecher mit Alexa, Sandstein Stoff","4,2",3.444,"EUR 99,99"
B01N2Z5DIY,"Samsung Galaxy A3 (2017) Smartphone (12,04 cm (4,7 Zoll) Touch-Display, 16 GB Speicher, Android 6.0) schwarz","4,0",610,"EUR 187,00"
B01CPPSWAM,"Garmin Forerunner 235 WHR Laufuhr, Herzfrequenzmessung am Handgelenk, Smart Notifications","3,6",467,"EUR 205,99 - EUR 479,90"
B071G7K3D1,"Samsung Galaxy J7 Duos Smartphone (13,93 cm (5,48 Zoll) Touch-Display, 16 GB Interner Speicher, Android 7.0) Schwarz","4,3",177,"EUR 192,00"
B07BHDDDHB,"Huawei 51092FTP P20 lite Smartphone 64GB interner Speicher, 4GB RAM, 16 MP Plus 2MP Kamera, Android 8.0 EMUI 8.0, Blau","4,6",29,"EUR 297,00"
B06XGWTLB3,"Samsung MU6179 108 cm (43 Zoll) Fernseher (Ultra HD, HDR, Triple Tuner, Smart TV)","4,2",472,"EUR 414,99"
B01LZTLCFX,GoPro HERO5 Session Kamera schwarz,"3,8",89,"EUR 174,00"
B01J94SEE6,"Fire HD 8 Kids Edition-Tablet, 20,3 cm (8 Zoll) HD Display, 32 GB, pinke kindgerechte Hülle","4,2",624,"EUR 119,99"
B076493W9X,"Xiaomi Mi A1 Dual SIM 64GB, black, (Global Version)","4,3",78,"EUR 186,90"
B071FRMTHZ,"Huawei Y7 Smartphone (14 cm (5,5 Zoll) Display, 16 GB Speicher, Android 6.0) grau","4,5",62,"EUR 115,00"
B01J94TL6Q,"Fire HD 8-Tablet mit Alexa, 20,3 cm (8 Zoll) HD Display, 16 GB (Schwarz), mit Spezialangeboten","4,1",1.554,"EUR 89,99"
B011I7RLU0,Bearware - Digitale Zeitschaltuhr | Weekly Digital Timer | minutengenau | LCD-Display | 3680W | IP 20 Schutzart| 8 konfigurierbare Schaltprogramme (Wochen-/Tages- und Minutenprogramm) | intelligente Zufallsschaltung | Kinderschutzsicherung (Steckdose) |,"4,2",697,"EUR 12,99"
B01NBUZV93,"Garmin vívoactive HR Sport GPS-Smartwatch (integrierte Herzfrequenzmessung am Handgelenk, diverse Sport Apps)","3,3",614,"EUR 145,00 - EUR 433,00"
B06Y68YRTF,Fujifilm Instax Mini 9 Kamera ice blau,"4,4",277,"EUR 77,90"
B01J2BL01K,Wir stellen vor: Amazon Echo Spot - Schwarz,"4,3",483,"EUR 129,99"
B00KAKPZYG,Fire TV Stick (Vorgängermodell),"4,1",27.716,
B01MXVRL5H,"Samsung Galaxy A3 2017 Hülle, Spigen® [Liquid Crystal] Flex Silikon [Crystal Clear] Transparent Dünn Bumper-Style Handyhülle Premium TPU Durchsichtige Schutzhülle - Crystal Clear (572CS21141)","4,5",118,"EUR 6,99"
B00HNAQA72,CSL - optische Maus/vertikale Ausführung | ergonomisches Design - Vorbeugung gegen Mausarm/Tennisarm (RSI Syndrom) - besonders armschonend | 5 Tasten,"4,3",1.087,"EUR 18,85"
B06XTCKBVM,"JETech Panzerglas für Nintendo Switch 2017, Prämie Gehärtetes Schutzfolie, 2 Stück","4,6",81,"EUR 6,99"
B014D1N0CG,"Foneso Bluetooth Selfie Stick mit Stativ für Smartphone, Kamera Schwarz","4,1",865,"EUR 12,99"
B01N4KYTBY,"Samsung K5000 54 cm (22 Zoll) Fernseher (Full HD, LED, DVB-C/T2 Tuner)","3,9",34,"EUR 99,95"
B079894FBD,"Honor 9 Lite Smartphone (14,35 cm (5,65 Zoll) FHD+ Display, 32 GB interner Speicher und 3 GB RAM, Dual-SIM, Android 8.0) Midnight Black","4,6",296,"EUR 179,00"
B00I9X2KLW,"Sony DSC-HX60 Digitalkamera (20,4 Megapixel, 30-fach opt. Zoom, 7,5 cm (3 Zoll) LCD-Display, Exmor R CMOS Sensor, NFC/WiFi) schwarz","4,2",220,"EUR 199,00"
B01N8W7IJB,"KFZ Handyhalterung Auto Autohalterung (2 Stück) YOSH® Lüftung Magnet Halterung für IPhone X 8 7 6 6s plus Samsung Galaxy S6 S7 S8 Edge Note LG HTC Nexus, für Smartphone Navis ✪LEBENSLANGE GARANTIE✪(Schwarz)","4,7",151,"EUR 8,99"
B01G8K3P7K,YAMAY Bluetooth Smartwatch Uhr Intelligente Armbanduhr Fitness Tracker Armband Sport Uhr mit/Kamera/Schrittzähler/Schlaftracker/Romte Capture Kompatibel mit Android Smartphone,"4,3",437,"EUR 36,99"
B01FDDNX3E,"Türklingel, TeckNet Wasserdicht Tragbares Funkklingel Set, Funk Türklingel Kit, Schnurlose Türklingel, 52 Melodien, 300m Reichweite, Plug In für die Steckdose, Klingel und Klingelknopf mit LED Anzeige","4,6",217,"EUR 12,99"
B01N3Q4DLS,APEMAN Action Cam 1080P Full HD Unterwasser Aktion kamera wasserdicht Helmkamera 170 ° Weitwinkel mit Zubehör Kits,"4,2",389,"EUR 36,99"
B00EDQ4V2K,Gigaset A415A Telefon - Schnurlostelefon/Mobilteil mit Grafik Display - Dect-Telefon mit Anrufbeantworter/Freisprechfunktion - Analog Telefon - Weiss,"4,3",2.200,"EUR 32,69"
B06Y698TWW,Fujifilm Instax Mini 9 Kamera flamingo rosa,"4,4",277,"EUR 67,99"
B074PL5MSK,"Navtour Fitness Armband mit 3 Ersatzbänder(kostenlos) Wasserdicht IP67 Fitness Tracker,Aktivitätstracker,Schrittzähler,Kalorienzähler,Schlaf-Monitor,SMS/Anruf,Sport Armband für ios und Android","4,1",102,"EUR 23,99"
B072M5RV5S,"Huawei Y7 Smartphone (14 cm (5,5 Zoll) Display, 16 GB Speicher, Android 6.0) grau/gold","4,5",62,"EUR 115,00"
B0749ZSPP6,"Amazon Echo (2. Generation), Intelligenter Lautsprecher mit Alexa, Hellgrau Stoff","4,2",3.444,"EUR 99,99"
B078QNY3ST,Shucase Hart Hülle für Bite Away - Elektronischer Stichheiler gegen Juckreiz Tasche,"4,1",9,"EUR 8,89"
B074PF2M9V,"Rayovac Extra Advanced Zink Luft Hörgerätebatterie (in der Größe 312 Pack, mit 60 Batterien, geeignet für Hörgeräte Hörhilfen Hörverstärker) braun","4,5",1.138,"EUR 14,20"
B06XCTNZ6Y,"Samsung HW-M450 Soundbar (320W, Bluetooth, Surround-Sound-Expansion) schwarz","4,3",158,"EUR 189,99"
B001FNW09U,"Power One Zinc Air Hearing Aid Size 312 Pack er 60, Braun","4,6",379,"EUR 13,86"
B01L9KXU7O,Apple iPhone 6s 64GB SIM-Free Smartphone - Space Grau (Zertifiziert und Generalüberholt),"3,6",547,"EUR 272,00"
B0168ZZD4S,"Xoro HRS 8660 digitaler Satelliten-Receiver mit LAN Anschluss (HDTV, DVB-S2, HDMI, SCART, PVR-Ready, USB 2.0) schwarz","3,8",880,"EUR 34,79"
